,xinxi,cutted_xinxi
600," 据群众反映,在天塔地铁站附近，有多名男子对小黄车进行损坏，并且偷取小黄车零件，进行私用和倒卖望有关部门关注","  据 群众反映 , 在 天塔 地铁站 附近 ， 有 多名 男子 对 小 黄车 进行 损坏 ， 并且 偷取 小 黄车 零件 ， 进行 私用 和 倒卖 望 有关 部门 关注"
601,据群众反映位于天津市河西区宾水桥宾水南里17号楼49门附近，废品垃圾严重占用消防通道，红色屋顶和对面的小屋属于私搭乱盖，希望有关部门治理一下。 ???,据 群众反映 位于 天津市 河西区 宾水桥 宾水南里 17 号楼 49 门 附近 ， 废品 垃圾 严重 占用 消防通道 ， 红色 屋顶 和 对面 的 小屋 属于 私 搭 乱盖 ， 希望 有关 部门 治理 一下 。   ? ? ?
602,天津市河北区华龙道附近交通信号灯，路灯时间较短红灯时间较长，造成通行车辆严重拥堵，易发生追尾等交通事故，请有关部门注意调节,天津市 河北区 华龙 道 附近 交通 信号灯 ， 路灯 时间 较 短 红灯 时间 较长 ， 造成 通行 车辆 严重 拥堵 ， 易 发生 追尾 等 交通事故 ， 请 有关 部门 注意 调节
603,天津市河北区中山路地铁站门口 小黄车膜拜等共享单车随意摆放 同时周围有学校超市医院等人流区域 经常造成周围交通堵塞 还时时伴有黑车非法营运 望相关部门予以治理,天津市 河北区 中山路 地铁站 门口   小 黄车 膜拜 等 共享 单车 随意 摆放   同时 周围 有 学校 超市 医院 等 人流 区域   经常 造成 周围 交通堵塞   还 时时 伴有 黑车 非法 营运   望 相关 部门 予以 治理
604,天津东丽区东丽湖北大资源的房子，2017年交房，6月份的第一场雨发现了室内漏雨，每一间屋都漏，然后物业开发区一直推脱一直修，到2017年10月8日的这场雨，又发现了多处的漏点，面积越来越大，漏点越来越多，我请问开发区需要什么时候修好？怎么修？维修方案是什么？9月中旬，开发商在没有通知业主、没有断电的情况下进行了闭水试验，造成了楼道、电梯门像下雨一样的漏水，请问开发商是在拿我们业主的生命开玩笑吗？开发商你们的良心何在？同志们看看吧，这就是北大资源的房子[/cp],天津 东丽区 东丽 湖北 大 资源 的 房子 ， 2017 年 交房 ， 6 月份 的 第一场 雨 发现 了 室内 漏雨 ， 每 一间 屋 都 漏 ， 然后 物业 开发区 一直 推脱 一直 修 ， 到 2017 年 10 月 8 日 的 这场 雨 ， 又 发现 了 多处 的 漏点 ， 面积 越来越 大 ， 漏点 越来越 多 ， 我 请问 开发区 需要 什么 时候 修好 ？ 怎么 修 ？ 维修 方案 是 什么 ？ 9 月 中旬 ， 开发商 在 没有 通知 业主 、 没有 断电 的 情况 下 进行 了 闭水 试验 ， 造成 了 楼道 、 电梯门 像 下雨 一样 的 漏水 ， 请问 开发商 是 在 拿 我们 业主 的 生命 开玩笑 吗 ？ 开发商 你们 的 良心何在 ？ 同志 们 看看 吧 ， 这 就是 北大 资源 的 房子 [ / cp ]
605,天津市河北区靖江路与卫国道交口 地铁施工扰民 噪声严重 希望有关单位文明施工，真正做到惠民不扰民！,天津市 河北区 靖江 路 与 卫国 道 交口   地铁 施工 扰民   噪声 严重   希望 有关 单位 文明 施工 ， 真正 做到 惠民 不 扰民 ！
606,天津市河北区胜利路聚源洗浴中心二楼有坐台小姐，在休息室单间内提供色情服务,天津市 河北区 胜利 路聚源 洗浴 中心 二楼 有 坐台 小姐 ， 在 休息室 单间 内 提供 色情 服务
607,红桥区西于庄街新礼貌楼的私搭乱盖和消防隐患严重新礼貌楼社区50门，楼房后面（南面）原来作为存车处的平房基本都改为民用了，而且私搭乱盖严重，而且占有且堵住了很多的通道（我们也不知道是不是消防需求，反正看起来这后面如果发生火灾，肯定进不来车），再加上这后面大多有木质或毛毡畜棚，风险很大,红桥区 西于 庄街 新 礼貌 楼 的 私 搭 乱盖 和 消防 隐患 严重 新 礼貌 楼 社区 50 门 ， 楼房 后面 （ 南面 ） 原来 作为 存车处 的 平房 基本 都 改为 民用 了 ， 而且 私 搭 乱盖 严重 ， 而且 占有 且 堵住 了 很多 的 通道 （ 我们 也 不 知道 是不是 消防 需求 ， 反正 看起来 这 后面 如果 发生 火灾 ， 肯定 进不来 车 ） ， 再 加上 这 后面 大多 有 木质 或 毛毡 畜棚 ， 风险 很大
608,天津市南开区王顶堤热带雨林休闲会馆内三楼棋牌室有赌博行为，四楼单间有小姐提供卖淫服务,天津市 南开区 王顶 堤 热带雨林 休闲 会馆 内三楼 棋牌室 有 赌博 行为 ， 四楼 单间 有 小姐 提供 卖淫 服务
609,南开区平湖西里（7栋-8栋之间，6栋-7栋之间）花坛存在绿化被破坏，垃圾堆花坛现象，希望予以治理。,南开区 平 湖西 里 （ 7 栋 - 8 栋 之间 ， 6 栋 - 7 栋 之间 ） 花坛 存在 绿化 被 破坏 ， 垃圾堆 花坛 现象 ， 希望 予以 治理 。
610,天津南开区密云路与南运河南道交口处，密云路东侧，早晨路边很多商贩，造成交通堵塞。在密云路前面几百米就有一个菜市场，跑到路边摆地摊，每天早上人很多，造成交通拥堵，人车混杂，容易发生交通事故的问题，希望有关部门能够治理。,天津 南开区 密云路 与 南运河 南道 交口 处 ， 密云路 东侧 ， 早晨 路边 很多 商贩 ， 造成 交通堵塞 。 在 密云路 前面 几百米 就 有 一个 菜市场 ， 跑 到 路边 摆地摊 ， 每天 早上 人 很多 ， 造成 交通拥堵 ， 人车 混杂 ， 容易 发生 交通事故 的 问题 ， 希望 有关 部门 能够 治理 。
611,  天津河北区段振德里小区车位乱停乱放，垃圾每天早上遍地都是，希望有关部门能够尽快治理。,    天津 河北区 段振 德里 小区 车位 乱 停 乱放 ， 垃圾 每天 早上 遍地 都 是 ， 希望 有关 部门 能够 尽快 治理 。
612,和平区卫津路银达公寓1号楼居民，我们小区现在私搭乱盖成风，本来就不宽敞的小区道路，在靠墙一侧，住户私自盖起了鸽棚和简易房供自己做储物室，有的还盖在消防井旁，这样一来本来不宽的小区道路更是拥挤，万一出现火灾险情，势必也会对救火工作造成影响。小区里面还有一堆不知是谁的杂物，据派出所和居委会说这杂物有纠纷不允许乱动，是纠纷就解决纠纷，在小区里存放也不是一个稳妥的结果，加之快到冬季天干物燥，容易引起火灾隐患，希望领导趁现在针对老旧楼区综合政治的机会对我们小区的私搭乱盖的环境问题给予重视和解决,和平区 卫津路 银达 公寓 1 号楼 居民 ， 我们 小区 现在 私 搭 乱盖 成风 ， 本来 就 不 宽敞 的 小区 道路 ， 在 靠墙 一侧 ， 住户 私自 盖起 了 鸽棚 和 简易房 供 自己 做 储物室 ， 有 的 还 盖 在 消防 井旁 ， 这样一来 本来 不 宽 的 小区 道路 更是 拥挤 ， 万一 出现 火灾 险情 ， 势必 也 会 对 救火 工作 造成 影响 。 小区 里面 还有 一堆 不知 是 谁 的 杂物 ， 据 派出所 和 居委会 说 这 杂物 有 纠纷 不 允许 乱动 ， 是 纠纷 就 解决 纠纷 ， 在 小区 里 存放 也 不是 一个 稳妥 的 结果 ， 加之 快到 冬季 天干 物燥 ， 容易 引起 火灾 隐患 ， 希望 领导 趁现在 针对 老 旧楼 区 综合 政治 的 机会 对 我们 小区 的 私 搭 乱盖 的 环境 问题 给予 重视 和 解决
613,?律伟路哇哇叫干锅店后门处经常弄堵下水道！臭气熏天严重影响老百姓生活，小区路面都是抽水，气味难闻不说，行人根本无法通过！严重扰民！希望有关部门严查，责令其彻底整改，停业整顿！,? 律伟路 哇哇叫 干锅店 后门 处 经常 弄 堵 下水道 ！ 臭气熏天 严重 影响 老百姓 生活 ， 小区 路面 都 是 抽水 ， 气味 难闻 不说 ， 行人 根本无法 通过 ！ 严重 扰民 ！ 希望 有关 部门 严查 ， 责令 其 彻底 整改 ， 停业整顿 ！
614,  滨海新区明星路路边违章停车问题严重，阻碍交通。  东大街学校放学期间接孩子的家长将车停在路边，严重影响出行。忘得到妥善处理,    滨海新区 明星 路 路边 违章 停车 问题 严重 ， 阻碍交通 。     东大街 学校 放学 期间 接 孩子 的 家长 将车 停 在 路边 ， 严重 影响 出行 。 忘 得到 妥善处理
615,  旷世新城小区前面的东马路至今有几段路没有修通，通往外环线的一段更是坑洼不平，下雨天就会积水很严重，路上也竟是大坑，给百姓出行造成了很大困难，东马路有一段已经铺设柏油路面，可是一直未见道路清扫车进行日常清扫，造成目前路面尘土非常多，车辆行驶过后尘土飞扬，请政府部门能够为老百姓解决实际困难，东马路如果目前不具备铺设条件哪怕用钩机将路面平整一下也能方便百姓出行，同时应进行日常清扫车作业，谢谢！,    旷世 新城 小区 前面 的 东 马路 至今 有 几段 路 没有 修通 ， 通往 外环线 的 一段 更是 坑洼 不平 ， 下雨天 就 会 积水 很 严重 ， 路上 也 竟是 大坑 ， 给 百姓 出行 造成 了 很大 困难 ， 东 马路 有 一段 已经 铺设 柏油路 面 ， 可是 一直 未见 道路 清扫车 进行 日常 清扫 ， 造成 目前 路面 尘土 非常 多 ， 车辆 行驶 过后 尘土飞扬 ， 请 政府部门 能够 为 老百姓 解决 实际困难 ， 东 马路 如果 目前 不 具备 铺设 条件 哪怕 用 钩 机将 路面 平整 一下 也 能 方便 百姓 出行 ， 同时 应 进行 日常 清扫车 作业 ， 谢谢 ！
616,天津市河东区天山南路车站共享单边道下车乱停乱放  影响公交进站，堵塞非机动车道 ，使得电动车与汽车混行非常危险  望相关部门关注,天津市 河东区 天山南路 车站 共享 单边 道 下车 乱 停 乱放     影响 公交 进站 ， 堵塞 非机动车 道   ， 使得 电动车 与 汽车 混行 非常 危险     望 相关 部门 关注
617,天津市河西区小海地漓江里34门门前的水表井，因为下了一天的雨导致钢筋外露有安全隐患，而且这个小区的老年人比较多，傍晚乘凉如果没有注意到脚踩进去会非常危险的，希望有关部门能够注意一下。,天津市 河西区 小 海地 漓江 里 34 门 门前 的 水表 井 ， 因为 下 了 一天 的 雨 导致 钢筋 外露 有 安全隐患 ， 而且 这个 小区 的 老年人 比较 多 ， 傍晚 乘凉 如果 没有 注意 到 脚 踩 进去 会 非常 危险 的 ， 希望 有关 部门 能够 注意 一下 。
618,据群众反映，东丽区二号桥轻轨站 公交站旁有大量黑车，肆意要价，并成群结队，如果问价后不乘车便会进行辱骂，望有关部门加强管理,据 群众反映 ， 东丽区 二号桥 轻轨站   公交站 旁有 大量 黑车 ， 肆意 要价 ， 并 成群结队 ， 如果 问价后 不 乘车 便会 进行 辱骂 ， 望 有关 部门 加强 管理
619,东丽区华明镇雪优花园小区水表大面积被盗，小区经常有陌生人出入，车辆随意停放，并且进入小区车速过快，对小区行人有重大安全隐患，望有关部门抓紧治理，还原小区祥和,东丽区 华明 镇雪优 花园 小区 水表 大面积 被盗 ， 小区 经常 有 陌生人 出入 ， 车辆 随意 停放 ， 并且 进入 小区 车速 过快 ， 对 小区 行人 有 重大 安全隐患 ， 望 有关 部门 抓紧 治理 ， 还原 小区 祥和
620,据群众反映，晚上九点，津南区大学城博雅花园公交站，晚上九点多有一开着面包车的男子在公交站牌下拉活，刚开始开着车在你面前转悠一圈，然后过几分钟又开回来，男子头探出车外，问你开不开房。经常有女孩遇见这种事，非常害怕，提醒晚上出门的大学生们注意安全。 ???希望有关部门进行整顿治理。,据 群众反映 ， 晚上 九点 ， 津南区 大学城 博雅 花园 公交站 ， 晚上 九点 多有 一开 着 面包车 的 男子 在 公交站 牌下拉活 ， 刚 开始 开着车 在 你 面前 转悠 一圈 ， 然后 过 几分钟 又 开 回来 ， 男子 头探 出车 外 ， 问 你 开 不 开房 。 经常 有 女孩 遇见 这种 事 ， 非常 害怕 ， 提醒 晚上 出门 的 大学生 们 注意安全 。   ? ? ? 希望 有关 部门 进行 整顿 治理 。
621,  复康路辅路与开华道交口晚高峰车辆无序拥堵，是否这里能有信号灯或者晚高峰有指挥交通人员呢，晚高峰这里车辆非常无序，而且经常发生刮擦，希望能考察一下，加信号灯或临时指挥，提高交通效率，避免不必要的刮擦事故等,    复 康路 辅路 与 开华道 交口 晚 高峰 车辆 无序 拥堵 ， 是否 这里 能 有 信号灯 或者 晚 高峰 有 指挥 交通 人员 呢 ， 晚 高峰 这里 车辆 非常 无序 ， 而且 经常 发生 刮 擦 ， 希望 能 考察 一下 ， 加 信号灯 或 临时 指挥 ， 提高 交通 效率 ， 避免 不必要 的 刮 擦 事故 等
622, 实验小学远洋城分校，东门口及两侧安转护栏，挡住人行道和盲道，行人行走的时候要走路中央，非常危险。请有关部门协调解决。,  实验 小学 远洋 城 分校 ， 东 门口 及 两侧 安转 护栏 ， 挡住 人行道 和 盲道 ， 行人 行走 的 时候 要 走路 中央 ， 非常 危险 。 请 有关 部门 协调 解决 。
623,据群众反映，河东区春华里小区外新环路经常停放私人车辆，造成交通拥堵，严重影响人们出行，望有关部门治理。,据 群众反映 ， 河东区 春华 里 小区 外新 环路 经常 停放 私人 车辆 ， 造成 交通拥堵 ， 严重 影响 人们 出行 ， 望 有关 部门 治理 。
624,据反映，早晨九点左右昆明路一骑电动车带棒球帽大概四十岁大爷抢包，先骑电动车从侧后方靠近你跟你平行靠你特别近同时伸手抢包，大家注意骑自行车如果有电动车靠你特别近，一定要注意。望有关部门及时治理,据 反映 ， 早晨 九点 左右 昆明 路 一骑 电动车 带 棒球帽 大概 四十岁 大爷 抢包 ， 先骑 电动车 从 侧后方 靠近 你 跟 你 平行 靠 你 特别 近 同时 伸手 抢包 ， 大家 注意 骑 自行车 如果 有 电动车 靠 你 特别 近 ， 一定 要 注意 。 望 有关 部门 及时 治理
625,天津市河东区唐家口派出所旁边的如意公园内有人遛大型犬不带任何防护措施很容易对人造成危险请有关部门处理,天津市 河东区 唐家口 派出所 旁边 的 如意 公园 内 有人 遛 大型犬 不带 任何 防护 措施 很 容易 对人 造成 危险 请 有关 部门 处理
626,天津市河东区大光明桥下的海河边上有人把小板凳放在河边的高台上坐在上边钓鱼很容易发生危险请有关部门处理,天津市 河东区 大 光明 桥下 的 海河 边上 有人 把 小 板凳 放在 河边 的 高 台上 坐在 上边 钓鱼 很 容易 发生 危险 请 有关 部门 处理
627,天津市河北区王串场六号路与幸福道交口，因温度下降，道路上有水，已经结成了冰，路面很滑，已有行人摔倒，请有关部门注意治理,天津市 河北区 王 串场 六号 路 与 幸福 道 交口 ， 因 温度 下降 ， 道路 上 有 水 ， 已经 结成 了 冰 ， 路面 很 滑 ， 已有 行人 摔倒 ， 请 有关 部门 注意 治理
628,河西区南北大街云广新里小区门口长期被一无照卖菜小贩堵路，每天天不亮就开始叫卖，到中午才收摊，堵路让我们出行困难，不仅居民我们休息，他收摊以后臭鱼烂虾脏水烂菜叶扔满地，导致环境卫生特别差。经常还有买卖产生争执高声叫骂,河西区 南北 大街 云广新里 小区 门口 长期 被 一 无照 卖菜 小贩 堵路 ， 每天 天不亮 就 开始 叫卖 ， 到 中午 才 收摊 ， 堵路 让 我们 出行 困难 ， 不仅 居民 我们 休息 ， 他 收摊 以后 臭 鱼烂虾 脏水 烂 菜叶 扔 满地 ， 导致 环境卫生 特别 差 。 经常 还有 买卖 产生 争执 高声 叫骂
629,和平区蒙古路于多伦道交口处蒙古大厦的居民我楼下住户私自将窗外的一片地方用砖头韦了起来使得本来就不宽的道路更加拥挤难走请有关部门劝劝一楼住户不要再圈了道路。,和平区 蒙古 路 于多伦 道 交口 处 蒙古 大厦 的 居民 我 楼下住户 私自 将 窗外 的 一片 地方 用 砖头 韦了 起来 使得 本来 就 不 宽 的 道路 更加 拥挤 难 走 请 有关 部门 劝劝 一楼 住户 不要 再圈 了 道路 。
630,天津市天津港海铁大道与北港西路交口红绿灯未正常开启，海铁大道过往车辆很多，尤其是大货车特别多，存在很大的安全隐患，希望有关部门加强监督管理！,天津市 天津港 海铁 大道 与 北港 西路 交口 红绿灯 未 正常 开启 ， 海铁 大道 过往 车辆 很多 ， 尤其 是 大 货车 特别 多 ， 存在 很大 的 安全隐患 ， 希望 有关 部门 加强 监督管理 ！
631,【共享汽车也跑路？押金5万，车瘫楼空】天津的孙先生今年3月份在“天津恒邦达汽车租赁有限公司”花5万押金，租了一辆电动共享汽车，可以免费使用一年。没想到1年没到，车坏了，公司也找不到了。希望有关部门关注,【 共享 汽车 也 跑 路 ？ 押金 5 万 ， 车瘫 楼空 】 天津 的 孙先生 今年 3 月份 在 “ 天津 恒 邦达 汽车 租赁 有限公司 ” 花 5 万 押金 ， 租 了 一辆 电动 共享 汽车 ， 可以 免费 使用 一年 。 没想到 1 年 没到 ， 车坏 了 ， 公司 也 找 不到 了 。 希望 有关 部门 关注
632,据群众反映，东丽区二号桥轻轨站 公交站旁有大量黑车，肆意要价，并成群结队，如果问价后不乘车便会进行辱骂，望有关部门加强管理,据 群众反映 ， 东丽区 二号桥 轻轨站   公交站 旁有 大量 黑车 ， 肆意 要价 ， 并 成群结队 ， 如果 问价后 不 乘车 便会 进行 辱骂 ， 望 有关 部门 加强 管理
633,东丽区华明镇雪优花园小区水表大面积被盗，小区经常有陌生人出入，车辆随意停放，并且进入小区车速过快，对小区行人有重大安全隐患，望有关部门抓紧治理，还原小区祥和,东丽区 华明 镇雪优 花园 小区 水表 大面积 被盗 ， 小区 经常 有 陌生人 出入 ， 车辆 随意 停放 ， 并且 进入 小区 车速 过快 ， 对 小区 行人 有 重大 安全隐患 ， 望 有关 部门 抓紧 治理 ， 还原 小区 祥和
634,在北横快速路西青道辅路上，一口圆口井的井盖倒扣在井口，盖底井字形的锋利金属茬口和破损井圈将数辆从该井上轧过的汽车轮胎刮坏，所幸未造成车内人员受伤。望相关部门加强管理。,在 北横 快速路 西青道 辅 路上 ， 一口 圆口井 的 井盖 倒扣 在 井口 ， 盖底 井 字形 的 锋利 金属 茬口 和 破损 井圈 将 数辆 从 该 井上 轧过 的 汽车轮胎 刮坏 ， 所幸 未 造成 车 内 人员 受伤 。 望 相关 部门 加强 管理 。
635,红桥区快速路青云桥下涵洞及天平路路边，每天有一些小贩在此摆摊，经常造成交通拥堵。望相关部门加强管理。,红桥区 快速路 青云 桥下 涵洞 及 天平 路 路边 ， 每天 有 一些 小贩 在 此 摆摊 ， 经常 造成 交通拥堵 。 望 相关 部门 加强 管理 。
636,武清区栖仙公寓中区16号楼楼道内私拉电线用于电动车充电，楼道内存放自行车，电动车，纸板，巨型广告牌，并且不是本楼门住户的自行车，电动车也是经常存放，致使楼道内拥挤不堪。楼道内拥挤不堪，杂乱无章，都可以忍受。但私拉电线行为涉及到人员安全问题，本楼楼龄已高，电线已严重老化，私拉电线行为极易引起火灾，造成人员伤亡，若真有隐患发生，不是影响到一个家庭，两个家庭，而是整栋楼的各个家庭，请领导们责成物业部门进行排查整治，还老百姓一个放心，安心，安全的居住环境,武清区 栖仙 公寓 中区 16 号楼 楼道 内私 拉 电线 用于 电动车 充电 ， 楼道 内 存放 自行车 ， 电动车 ， 纸板 ， 巨型 广告牌 ， 并且 不是 本 楼门 住户 的 自行车 ， 电动车 也 是 经常 存放 ， 致使 楼道 内 拥挤不堪 。 楼道 内 拥挤不堪 ， 杂乱无章 ， 都 可以 忍受 。 但 私拉 电线 行为 涉及 到 人员 安全 问题 ， 本楼 楼龄 已高 ， 电线 已 严重 老化 ， 私拉 电线 行为 极易 引起 火灾 ， 造成 人员伤亡 ， 若真 有 隐患 发生 ， 不是 影响 到 一个 家庭 ， 两个 家庭 ， 而是 整栋 楼 的 各个 家庭 ， 请 领导 们 责成 物业 部门 进行 排查 整治 ， 还 老百姓 一个 放心 ， 安心 ， 安全 的 居住 环境
637,地铁站3号线各重点站站台上经常有闲杂人等，在这里逗留对过往乘客推销广告及扫二维码，同时有乘客反应这些人在和乘客攀谈的时候有同伙下手盗窃物品的情况。,地铁站 3 号线 各 重点 站 站台 上 经常 有 闲杂人等 ， 在 这里 逗留 对 过往 乘客 推销 广告 及 扫 二维码 ， 同时 有 乘客 反应 这些 人 在 和 乘客 攀谈 的 时候 有 同伙 下手 盗窃 物品 的 情况 。
638,南开区苏堤路十余家足疗店涉黄，这些大大小小的足疗店仍然在进行着明目张胆的卖淫行为，这对于我们这些附近居民来说影响太大了，孩子们放学都谈论这些个足疗店门口站着的技师，现在苏堤路已经成为了天津市内远近闻名的卖淫一条街，对附近居民影响很大。,南开区 苏堤 路 十余家 足疗 店涉 黄 ， 这些 大大小小 的 足疗 店 仍然 在 进行 着 明目张胆 的 卖淫 行为 ， 这 对于 我们 这些 附近 居民 来说 影响 太大 了 ， 孩子 们 放学 都 谈论 这些 个足疗 店门口 站 着 的 技师 ， 现在 苏堤 路 已经 成为 了 天津市 内 远近闻名 的 卖淫 一条街 ， 对 附近 居民 影响 很大 。
639,天津站负一负二层经常有5-6名中年妇女找过往乘客要钱谎称自己没钱了，买票还差6元钱。骗去乘客钱财。,天津站 负一负 二层 经常 有 5 - 6 名 中年妇女 找 过往 乘客 要钱 谎称 自己 没钱 了 ， 买票 还 差 6 元 钱 。 骗 去 乘客 钱财 。
640,天津市津南区百万路瑞皇台洗浴中心，三楼休息室内有坐台小姐，提供卖淫服务,天津市 津南区 百万 路瑞 皇台 洗浴 中心 ， 三楼 休息室 内有 坐台 小姐 ， 提供 卖淫 服务
641,天津市东丽区，明佳庄园小区，一号楼底商，众友棋牌室内有大量赌博机，存在赌博行为,天津市 东丽区 ， 明佳 庄园 小区 ， 一号 楼底 商 ， 众友 棋牌室 内有 大量 赌博机 ， 存在 赌博 行为
642,近期河东区大王庄卓越浅水湾的群租现象尤其严重，发生多起小型火灾，皆为群租房人员引起，且群组人员流动性大，素质参差不齐，容易引发安全隐患。,近期 河东区 大王 庄 卓越 浅水湾 的 群租 现象 尤其 严重 ， 发生 多 起 小型 火灾 ， 皆 为 群 租房 人员 引起 ， 且 群组 人员 流动性 大 ， 素质 参差不齐 ， 容易 引发 安全隐患 。
643,河北区王串场一号路明溪里一号楼，房屋紧邻生产道。生产道上有一家不锈钢防盗网加工点，用无齿锯切割管材和用角磨机加工金属防盗网的噪音非常大，严重影响了我们附近居民的正常生活。前段时间我们向88908890反应过，政府相关部门以违章占路经营治理过，但是这样一治理，他们把作业场地移出道路之外，距离我们居民楼更近的地方，给我们造成更大的噪音。由此我们盼望政府相关部门领导能从根本上解决上述问题。,河北区 王 串场 一号 路 明溪 里 一号 楼 ， 房屋 紧邻 生产 道 。 生产 道 上 有 一家 不锈钢 防盗网 加工点 ， 用 无齿 锯 切割 管材 和 用角 磨机 加工 金属 防盗网 的 噪音 非常 大 ， 严重 影响 了 我们 附近 居民 的 正常 生活 。 前段时间 我们 向 88908890 反应 过 ， 政府 相关 部门 以 违章 占路 经营 治理 过 ， 但是 这样 一 治理 ， 他们 把 作业 场地 移出 道路 之外 ， 距离 我们 居民楼 更近 的 地方 ， 给 我们 造成 更大 的 噪音 。 由此 我们 盼望 政府 相关 部门 领导 能 从根本上 解决 上述 问题 。
644,河东区昆仑路辅路宁月花园这，小区的下水一直不好，每次道雨季小区都要往外抽水，自从去年以来，外面的污水井就一直往外冒水，今年就是从来没有停过，我们每天经过这些污水，味道很臭，苦不堪言，也反映很多次，8890也打过很多次，市政也联系过，滨海市政也联系过，望解决！,河东区 昆仑 路 辅路宁 月 花园 这 ， 小区 的 下水 一直 不好 ， 每次 道 雨季 小区 都 要 往外 抽水 ， 自从 去年 以来 ， 外面 的 污水 井 就 一直 往外 冒水 ， 今年 就是 从来 没有 停 过 ， 我们 每天 经过 这些 污水 ， 味道 很 臭 ， 苦不堪言 ， 也 反映 很 多次 ， 8890 也 打过 很 多次 ， 市政 也 联系 过 ， 滨海 市政 也 联系 过 ， 望 解决 ！
645,河东区真理道华光里1号楼的居民：1号楼作为老旧房一直存在楼房外墙墙面开裂，无保温层、夏天漏雨，冬天透风渗雪返潮，内墙墙皮大面积起鼓剥落等现象，尤其是1门101-701靠山墙无一幸免。而且因房屋不保温，冬季供暖期室内温度远达不到天津市的供暖室温标准。多年来我们楼里的居民曾经多次因为这件事情去河东区房管局等部门协商解决，也曾经多次向供热站提出意见，但漫长的时间过去了，一直没有得到解决。  2013年我们华光里小区纳入了市里旧小区改造项目，但对墙体外部保温没有进行改造。我们一号楼与小区内其他楼房结构和建材都不同，我们是框架结构，空心砌块砖砌的墙。这样的建筑没有保温层是绝对不符合国家节能建筑的要求的。  目前是冬季供暖期，我们屋里的温度阴面是14.5度，阳面中午时一般在16.5度上下，家里只能穿着棉服棉鞋，楼里居民曾无数次与供热站沟通，供热站说无法解决。今年全运会前夕，我们看到距我家200米远的中环线上的老楼有政府派工人施工，加装保温层，我们望眼欲穿的渴望能修到我们楼来，可惜依然失望，只有市容的人因为2楼墙的位置有小广告不够美观，给薄薄的刷了层白色外墙漆，只刷到二楼，但就是这么薄薄一层，二楼的两位老人说今年夏季的漏雨情况就得到改善。三楼的一为老人3年前因为冬季室温过低不幸脑部中风，造成偏瘫，她家目前也必须要开着电热毯才能睡觉。五楼居民，雨季时屋里山墙漏雨像瀑布一样，今冬无奈办理暖气停气，因去年冬季供暖期室温只有15度，今年另找别的地方过冬。目前601的室温是14-17度之间，每天早晚必须要开电暖器才能熬过低温。因为一个保温层，我们六户人家都生活得很疲惫很不幸，因为一个楼里大多都是老弱病残，我们没有别的途径解决全楼的问题，只有求助政府。,河东区 真理 道 华光 里 1 号楼 的 居民 ： 1 号楼 作为 老 旧房 一直 存在 楼房 外墙 墙面 开裂 ， 无 保温层 、 夏天 漏雨 ， 冬天 透风 渗雪 返潮 ， 内墙 墙皮 大面积 起鼓 剥落 等 现象 ， 尤其 是 1 门 101 - 701 靠 山墙 无一幸免 。 而且 因 房屋 不 保温 ， 冬季 供暖 期 室内 温度 远达 不到 天津市 的 供暖 室温 标准 。 多年 来 我们 楼里 的 居民 曾经 多次 因为 这件 事情 去 河东区 房管局 等 部门 协商 解决 ， 也 曾经 多次 向 供热 站 提出 意见 ， 但 漫长 的 时间 过去 了 ， 一直 没有 得到 解决 。     2013 年 我们 华光 里 小区 纳入 了 市里 旧 小区 改造 项目 ， 但 对 墙体 外部 保温 没有 进行 改造 。 我们 一号 楼 与 小 区内 其他 楼房 结构 和 建材 都 不同 ， 我们 是 框架结构 ， 空心 砌 块砖 砌 的 墙 。 这样 的 建筑 没有 保温层 是 绝对 不 符合国家 节能 建筑 的 要求 的 。     目前 是 冬季 供暖 期 ， 我们 屋里 的 温度 阴面 是 14.5 度 ， 阳面 中午 时 一般 在 16.5 度 上下 ， 家里 只能 穿着 棉服 棉鞋 ， 楼 里 居民 曾 无数次 与 供热 站 沟通 ， 供热 站 说 无法 解决 。 今年 全运会 前夕 ， 我们 看到 距 我家 200 米 远 的 中环线 上 的 老楼 有 政府 派 工人 施工 ， 加装 保温层 ， 我们 望眼欲穿 的 渴望 能 修到 我们 楼来 ， 可惜 依然 失望 ， 只有 市容 的 人 因为 2 楼墙 的 位置 有 小 广告 不够 美观 ， 给 薄薄的 刷 了 层 白色 外墙漆 ， 只刷 到 二楼 ， 但 就是 这么 薄薄 一层 ， 二楼 的 两位 老人 说 今年 夏季 的 漏雨 情况 就 得到 改善 。 三楼 的 一为 老人 3 年前 因为 冬季 室温 过低 不幸 脑部 中风 ， 造成 偏瘫 ， 她家 目前 也 必须 要开 着 电热毯 才能 睡觉 。 五楼 居民 ， 雨季 时 屋里 山墙 漏雨 像 瀑布 一样 ， 今冬 无奈 办理 暖气 停气 ， 因 去年 冬季 供暖 期 室温 只有 15 度 ， 今年 另 找 别的 地方 过冬 。 目前 601 的 室温 是 14 - 17 度 之间 ， 每天 早晚 必须 要开 电暖器 才能 熬过 低温 。 因为 一个 保温层 ， 我们 六户 人家 都 生活 得 很 疲惫 很 不幸 ， 因为 一个 楼 里 大多 都 是 老弱病残 ， 我们 没有 别的 途径 解决 全楼 的 问题 ， 只有 求助 政府 。
